pytesseract_predicted_result,paddleocr_ocr_predicted_result,trocr_predicted_result,filename
219,249,249,2024-09-02-1521-INSIDE-1_crop_1.jpg
2,,240,2024-09-02-1521-INSIDE-1_crop_2.jpg
205256,2052544,,2024-09-02-1521-INSIDE-1_crop_4.jpg
133,133,133,2024-09-02-1521-INSIDE-2 (2)_crop_2.jpg
412,412,412,2024-09-02-1521-INSIDE-2 (2)_crop_3.jpg
412,412,412,2024-09-02-1521-INSIDE-2 (2)_crop_4.jpg
,,60,2024-09-02-1521-INSIDE-2 (2)_crop_5.jpg
42,412,412,2024-09-02-1521-INSIDE-2_crop_3.jpg
315,319,319,2024-09-02-1521-INSIDE-2_crop_4.jpg
,,,2024-09-02-1521-INSIDE-2_crop_6.jpg
22,1772,72,2024-09-02-1521-INSIDE-3_crop_3.jpg
7,,162,2024-09-02-1521-INSIDE-3_crop_4.jpg
47,,172,2024-09-02-1521-INSIDE-3_crop_5.jpg
2,,2,2024-09-02-1521-INSIDE-3_crop_6.jpg
509,509,509,2024-09-02-1521-INSIDE-3_crop_7.jpg
,,,2024-09-02-1521-INSIDE-3_crop_8.jpg
,,690,2024-09-02-1521-INSIDE-3_crop_9.jpg
380,380,380,2024-09-02-1521-INSIDE-4 (2)_crop_2.jpg
182,182,182,2024-09-02-1521-INSIDE-4 (2)_crop_3.jpg
,182,182,2024-09-02-1521-INSIDE-4 (2)_crop_4.jpg
38,38,38,2024-09-02-1521-INSIDE-4 (2)_crop_5.jpg
21,21,21,2024-09-02-1521-INSIDE-4_crop_10.jpg
21,21,21,2024-09-02-1521-INSIDE-4_crop_4.jpg
264,264,264,2024-09-02-1521-INSIDE-4_crop_5.jpg
354,54,354,2024-09-02-1521-INSIDE-4_crop_6.jpg
261,361,361,2024-09-02-1521-INSIDE-4_crop_7.jpg
3,,,2024-09-02-1521-INSIDE-4_crop_8.jpg
1361,361,361,2024-09-02-1521-INSIDE-4_crop_9.jpg
239,289,289,2024-09-02-1521-INSIDE-6 (2)_crop_10.jpg
239,687,289,2024-09-02-1521-INSIDE-6 (2)_crop_11.jpg
10,10,210,2024-09-02-1521-INSIDE-6 (2)_crop_12.jpg
541,541,541,2024-09-02-1521-INSIDE-6 (2)_crop_13.jpg
626,62,626,2024-09-02-1521-INSIDE-6 (2)_crop_14.jpg
71,471,471,2024-09-02-1521-INSIDE-6 (2)_crop_15.jpg
,,,2024-09-02-1521-INSIDE-6 (2)_crop_16.jpg
541,501,501,2024-09-02-1521-INSIDE-6 (2)_crop_17.jpg
26,,26,2024-09-02-1521-INSIDE-6 (2)_crop_18.jpg
,,,2024-09-02-1521-INSIDE-6 (2)_crop_19.jpg
,,099,2024-09-02-1521-INSIDE-6 (2)_crop_20.jpg
104,906,706,2024-09-02-1521-INSIDE-6 (2)_crop_22.jpg
706,,706,2024-09-02-1521-INSIDE-6 (2)_crop_23.jpg
74,,210,2024-09-02-1521-INSIDE-6 (2)_crop_3.jpg
266,,256,2024-09-02-1521-INSIDE-6 (2)_crop_8.jpg
268,268,268,2024-09-02-1521-INSIDE-6 (2)_crop_9.jpg
4,,01,2024-09-02-1521-INSIDE-6 (3)_crop_11.jpg
20,20,20,2024-09-02-1521-INSIDE-6 (3)_crop_12.jpg
24,,,2024-09-02-1521-INSIDE-6 (3)_crop_13.jpg
1,01,01,2024-09-02-1521-INSIDE-6 (3)_crop_14.jpg
24,734,224,2024-09-02-1521-INSIDE-6 (3)_crop_15.jpg
526,526,626,2024-09-02-1521-INSIDE-6 (3)_crop_16.jpg
,,26,2024-09-02-1521-INSIDE-6 (3)_crop_17.jpg
76,,706,2024-09-02-1521-INSIDE-6 (3)_crop_18.jpg
45,,796,2024-09-02-1521-INSIDE-6 (3)_crop_19.jpg
4,,01,2024-09-02-1521-INSIDE-6 (3)_crop_23.jpg
06,706,706,2024-09-02-1521-INSIDE-6 (3)_crop_6.jpg
,,214,2024-09-02-1521-INSIDE-6 (3)_crop_7.jpg
20,20,20,2024-09-02-1521-INSIDE-6 (3)_crop_8.jpg
