filename,pytesseract_predicted_result,paddleocr_ocr_predicted_result
007c3149-INSIDE2_2024-09-24-1353-INSIDE-2_2_crop_2.jpg,365,365
007c3149-INSIDE2_2024-09-24-1353-INSIDE-2_2_crop_3.jpg,265,365
007c3149-INSIDE2_2024-09-24-1353-INSIDE-2_2_crop_4.jpg,,
066f34a6-INSIDE2_2024-09-23-1410-INSIDE-2_2_crop_2.jpg,315,319
07371afe-INSIDE2_2024-09-25-1328-INSIDE-2_2_crop_2.jpg,3135,319
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_10.jpg,206,206
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_15.jpg,43,43
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_16.jpg,3,631
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_17.jpg,,500
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_18.jpg,473,
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_19.jpg,23,
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_20.jpg,3,
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_21.jpg,37,
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_22.jpg,462,162
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_23.jpg,473,473
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_24.jpg,757,
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_25.jpg,,
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_26.jpg,22,
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_28.jpg,22,
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_29.jpg,9,
0956e4fc-OUTSIDE8_2024-10-24-1442-OUTSIDE-8_2_crop_5.jpg,,
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_10.jpg,412,124
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_11.jpg,132,133
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_12.jpg,218,
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_13.jpg,,
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_14.jpg,418,
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_15.jpg,,
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_16.jpg,,
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_17.jpg,373,87
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_18.jpg,121619,
0c26cffe-OUTSIDE10_2024-10-19-1407-OUTSIDE-10_crop_19.jpg,69,5
0debd7ea-OUTSIDE2_2024-09-12-1351-OUTSIDE-2_4_crop_2.jpg,176,176
0e7da32e-OUTSIDE2_2024-10-07-1412-OUTSIDE-2_crop_2.jpg,567,567
0e7da32e-OUTSIDE2_2024-10-07-1412-OUTSIDE-2_crop_3.jpg,633,633
0e7da32e-OUTSIDE2_2024-10-07-1412-OUTSIDE-2_crop_4.jpg,6233,033
0fb72ae5-OUTSIDE2_2024-10-31-1340-OUTSIDE-2_4_crop_2.jpg,238,628
0fb72ae5-OUTSIDE2_2024-10-31-1340-OUTSIDE-2_4_crop_3.jpg,212,
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_11.jpg,506,500
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_12.jpg,3,43
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_13.jpg,473,473
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_14.jpg,291,391
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_15.jpg,22,
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_16.jpg,3,553n
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_17.jpg,3,
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_18.jpg,206,206
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_19.jpg,43,
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_20.jpg,22,22
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_22.jpg,,
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_23.jpg,,
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_24.jpg,5,
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_26.jpg,,
0fe61360-OUTSIDE8_2024-10-31-1340-OUTSIDE-8_2_crop_9.jpg,,
14c66e7f-OUTSIDE2_2024-09-19-1410-OUTSIDE-2_3_crop_2.jpg,226,226
14c66e7f-OUTSIDE2_2024-09-19-1410-OUTSIDE-2_3_crop_3.jpg,,
14c66e7f-OUTSIDE2_2024-09-19-1410-OUTSIDE-2_3_crop_4.jpg,,
14c66e7f-OUTSIDE2_2024-09-19-1410-OUTSIDE-2_3_crop_5.jpg,225,220
16d121f1-OUTSIDE3_2024-10-16-1429-OUTSIDE-3_crop_3.jpg,,640
16d121f1-OUTSIDE3_2024-10-16-1429-OUTSIDE-3_crop_4.jpg,"7
7",17
16d121f1-OUTSIDE3_2024-10-16-1429-OUTSIDE-3_crop_5.jpg,6 40,640
16d121f1-OUTSIDE3_2024-10-16-1429-OUTSIDE-3_crop_6.jpg,,
16d121f1-OUTSIDE3_2024-10-16-1429-OUTSIDE-3_crop_7.jpg,17,17
1774554e-INSIDE2_2024-10-09-1351-INSIDE-2_2_crop_2.jpg,319,319
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_10.jpg,859,558
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_11.jpg,478,478
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_12.jpg,9,
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_13.jpg,196,190
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_14.jpg,,508
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_15.jpg,344,3
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_16.jpg,355,355
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_17.jpg,446,
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_18.jpg,,
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_19.jpg,334,33.4
17e283f9-OUTSIDE10_2024-09-04-1402-OUTSIDE-10_crop_20.jpg,1,
